algo,n,p,threads,np,build_time,sort_time,part_time,merge_time,total_time,kernel_time,rpn
mpi_part,100000000,32,32,1,5.51237,6.50483,1.80732,3.35688,19.4557,17.1814,1
mpi_part,100000000,32,32,1,5.54712,5.97081,1.81194,3.35969,18.974,16.6896,1
mpi_part,100000000,32,16,2,5.49833,3.51849,1.06844,2.09866,13.7014,12.1839,2
mpi_part,100000000,32,16,2,5.56142,3.60569,1.07006,2.09547,13.8485,12.3326,2
mpi_part,100000000,32,8,4,5.43117,2.66625,0.570847,1.2528,11.1151,9.92107,4
mpi_part,100000000,32,8,4,5.68876,2.67435,0.555084,1.21774,11.3248,10.1359,4
mpi_part,100000000,32,4,8,5.35504,2.07466,0.305063,0.741437,9.51136,8.4762,8
mpi_part,100000000,32,4,8,5.44468,2.07166,0.304823,0.75218,9.61122,8.57335,8
mpi_part,100000000,32,32,2,5.47152,2.89359,1.48088,2.09743,14.007,11.9434,1
mpi_part,100000000,32,32,2,5.45441,3.05513,1.47221,2.10679,14.1765,12.0885,1
mpi_part,100000000,32,16,4,5.38021,1.66082,0.7829,1.16014,10.6559,8.98408,2
mpi_part,100000000,32,16,4,5.30395,1.69836,0.817784,1.16212,10.6551,8.98221,2
mpi_part,100000000,32,8,8,5.52677,1.26745,0.544483,0.721305,9.58566,8.06002,4
mpi_part,100000000,32,8,8,5.28875,1.31141,0.537856,0.748474,9.4552,7.8865,4
mpi_part,100000000,32,4,16,5.50514,0.973598,0.486171,0.481659,8.91121,7.44656,8
mpi_part,100000000,32,4,16,5.53561,0.987957,0.486479,0.448033,8.9371,7.45808,8
mpi_part,100000000,32,32,4,5.43068,1.42479,0.856493,1.17207,10.852,8.88404,1
mpi_part,100000000,32,32,4,5.55075,1.4737,0.848511,1.183,11.0358,9.05596,1
mpi_part,100000000,32,16,8,5.54426,0.846318,0.499642,0.723039,9.34906,7.61326,2
mpi_part,100000000,32,16,8,5.53909,0.860996,0.49129,0.692319,9.33142,7.58369,2
mpi_part,100000000,32,8,16,5.62641,0.601745,0.39803,0.46025,8.75793,7.08643,4
mpi_part,100000000,32,8,16,5.59583,0.605956,0.50735,0.452077,8.84141,7.16121,4
mpi_part,100000000,32,4,32,5.49328,0.466282,0.50847,0.287818,8.39289,6.75585,8
mpi_part,100000000,32,4,32,5.45764,0.466128,0.552152,0.275018,8.39405,6.75093,8
mpi_part,100000000,32,32,8,5.54109,0.718686,0.462604,0.723337,9.36193,7.44572,1
mpi_part,100000000,32,32,8,5.43619,0.70328,0.462813,0.696413,9.2088,7.2987,1
mpi_part,100000000,32,16,16,5.34555,0.392011,0.32681,0.419454,8.26008,6.48383,2
mpi_part,100000000,32,16,16,5.33717,0.400252,0.301211,0.440796,8.23335,6.47943,2
mpi_part,100000000,32,8,32,5.36784,0.28442,0.347312,0.261243,8.01478,6.26081,4
mpi_part,100000000,32,8,32,5.41103,0.300354,0.386962,0.263039,8.1151,6.36138,4
mpi_part,100000000,32,4,64,5.4551,0.214479,0.251878,0.180571,7.82338,6.10203,8
mpi_part,100000000,32,4,64,5.36895,0.213307,0.451647,0.18905,7.93774,6.22296,8
