algo,n,p,threads,np,build_time,sort_time,part_time,merge_time,total_time,kernel_time,rpn
mpi_part,5000000,32,32,1,0.295188,0.264334,0.0907514,0.168648,4.63146,0.818922,1
mpi_part,5000000,32,32,1,0.281124,0.255342,0.090812,0.168691,0.908339,0.795969,1
mpi_part,10000000,32,16,2,0.583884,0.319766,0.108223,0.209799,7.52048,1.22167,2
mpi_part,10000000,32,16,2,0.55841,0.306404,0.107847,0.210889,1.33551,1.18355,2
mpi_part,20000000,32,8,4,1.15166,0.464836,0.112887,0.24379,14.7575,1.97318,4
mpi_part,20000000,32,8,4,1.12484,0.469748,0.113295,0.243699,2.19534,1.95159,4
mpi_part,40000000,32,4,8,2.39985,0.758045,0.126025,0.32597,27.8133,3.60989,8
mpi_part,40000000,32,4,8,2.16568,0.767792,0.125904,0.310071,3.78477,3.36944,8
mpi_part,10000000,32,32,2,0.564151,0.260923,0.14792,0.210417,1.39079,1.18341,1
mpi_part,10000000,32,32,2,0.567588,0.271385,0.148724,0.216973,1.42794,1.20467,1
mpi_part,20000000,32,16,4,1.09374,0.303408,0.1692,0.23458,2.14373,1.80093,2
mpi_part,20000000,32,16,4,1.1014,0.311423,0.165567,0.235058,2.15889,1.81345,2
mpi_part,40000000,32,8,8,2.22111,0.480776,0.222643,0.287048,3.8313,3.21158,4
mpi_part,40000000,32,8,8,2.21802,0.462378,0.224763,0.296512,3.83337,3.20168,4
mpi_part,80000000,32,4,16,4.59785,0.748404,0.389853,0.355889,112.297,6.09199,8
mpi_part,80000000,32,4,16,4.49241,0.771413,0.390671,0.360826,7.19067,6.01532,8
mpi_part,20000000,32,32,4,1.10972,0.265755,0.174473,0.239425,2.18097,1.78937,1
mpi_part,20000000,32,32,4,1.12769,0.268515,0.17394,0.237864,2.20541,1.80801,1
mpi_part,40000000,32,16,8,2.18858,0.320485,0.210146,0.302104,3.71769,3.02132,2
mpi_part,40000000,32,16,8,2.19704,0.315215,0.205984,0.275587,3.69565,2.99383,2
mpi_part,80000000,32,8,16,4.30377,0.476886,0.321438,0.34559,6.79995,5.44768,4
mpi_part,80000000,32,8,16,4.41886,0.469105,0.677966,0.361821,7.27963,5.92775,4
mpi_part,160000000,32,4,32,9.36653,0.770954,0.761836,0.432769,216.083,11.3321,8
mpi_part,160000000,32,4,32,8.88513,0.781896,0.71202,0.455719,13.4705,10.8348,8
mpi_part,40000000,32,32,8,2.23818,0.261427,0.188005,0.285586,3.73724,2.9732,1
mpi_part,40000000,32,32,8,2.23202,0.263721,0.188279,0.279813,3.71787,2.96383,1
mpi_part,80000000,32,16,16,4.41866,0.316829,0.246554,0.340876,6.72803,5.32292,2
mpi_part,80000000,32,16,16,4.34945,0.328281,0.243726,0.336575,6.65945,5.25803,2
mpi_part,160000000,32,8,32,8.93855,0.485398,0.554241,0.416908,13.1907,10.3951,4
mpi_part,160000000,32,8,32,8.95928,0.470809,0.390282,0.41912,13.0475,10.2395,4
mpi_part,320000000,32,4,64,18.4161,0.779837,3.4998,0.604544,388.644,23.3003,8
mpi_part,320000000,32,4,64,17.9103,0.780693,2.45555,0.588825,27.3142,21.7354,8
